CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
9.93,6.612,7.261,7,4.45,3.387,5.427,5.452,6.029,4.121,4.527,4.362,3.327,4.201,11.82,4.958,12.529,4.569,3.407,5.063,5.008,4.249,5.193,Cancer
10.105,5.752,4.96,6.819,6.04,3.853,3.948,5.738,5.15,5.44,5.997,12.514,3.35,6.883,9.872,5.316,7.084,4.325,5.191,5.025,5.561,3.586,10.274,Cancer
9.632,6.419,6.55,8.049,6.222,5.866,6.55,7.983,7.439,8.101,8.442,11.424,5.015,9.482,9.638,6.832,9.072,6.833,6.194,6.403,7.515,4.522,10.02,Cancer
9.644,6.223,6.276,5.433,3.859,3.583,3.873,5.062,4.586,3.552,4.794,4.827,3.735,4.927,11.653,4.855,5.407,3.992,3.556,5.01,5.4,3.786,4.7,Cancer
10.393,7.984,7.941,8.54,6.446,3.853,3.925,5.67,3.25,3.882,4.634,4.302,3.418,4.767,12.394,4.958,6.571,7.345,3.143,7.184,7.915,3.379,6.281,Cancer
9.893,7.513,7.361,8.544,5.236,3.785,6.231,5.113,4.308,7.757,4.642,13.314,3.284,7.96,12.248,4.813,5.543,7.152,2.945,6.575,8.432,3.743,4.686,Cancer
10.749,7.601,6.995,7.858,4.185,4.297,3.523,5.028,3.096,3.681,4.616,5.036,3.364,4.265,12.055,5.299,4.786,5.973,3.17,6.202,7.435,3.764,5.724,Cancer
8.955,8.433,7.73,8.459,4.586,4.469,4.059,4.957,6.2,4.24,4.234,4.731,3.564,6.604,10.385,4.997,7.802,6.979,2.971,6.313,6.197,3.495,8.203,Cancer
8.943,9.126,5.507,7.96,4.017,5.277,3.426,5.715,3.782,4.215,4.434,4.572,4.051,5.335,7.297,5.336,7.163,5.824,3.398,7.601,7.485,3.941,6.316,Cancer
9.611,5.956,7.068,7.516,3.941,5.178,4.497,6.417,4.299,4.878,5.566,7.022,3.409,4.313,11.257,5.184,5.782,5.883,3.016,5.261,6.308,4.372,6.791,Cancer
10.047,8.188,6.289,7.953,4.534,4.306,3.542,6.408,3.877,4.325,4.285,8.506,3.294,4.423,10.016,5.18,8.054,6.401,3.964,6.31,6.844,3.891,9.206,Cancer
9.086,4.06,4.269,6.137,4.125,4.114,5.668,4.987,4.57,8.001,7.858,6.984,3.539,6.185,5.416,4.929,7.112,4.287,3.124,4.044,4.098,3.721,6.204,Cancer
10.875,8.064,6.951,8.164,4.46,4.259,3.644,5.025,5.349,3.52,3.606,4.45,3.354,4.705,11.695,4.845,4.945,7.062,2.991,6.012,7.553,3.838,6.258,Cancer
10.129,7.485,8.839,8.369,5.24,4.113,4.751,5.123,4.082,4.366,8.76,6.345,3.348,4.797,11.173,5.213,9.681,7.281,2.544,7.021,7.746,4.045,5.03,Cancer
9.119,7.19,4.715,5.906,5.064,3.956,4.407,5.588,4.561,4.373,6.325,6.711,3.529,4.726,11.906,5.012,5.193,5.997,3.938,4.399,5.853,3.737,5.569,Cancer
8.077,4.65,5.13,6.703,5.401,3.738,4.103,5.61,3.696,4.335,3.897,10.348,3.242,11.433,7.571,8.644,7.485,6.24,4.94,5.123,4.927,4,5.08,Normal
8.204,3.955,4.94,5.573,8.092,6.556,6.973,7.591,7.651,8.838,8.867,11.696,4.217,9.672,8.27,6.777,10.434,3.718,6.203,3.753,3.872,4.977,11.426,Normal
8.223,4.446,4.473,5.13,8.393,6.763,7.627,8.697,8.483,9.363,7.719,12.604,5.516,9.866,5.338,7.61,10.929,3.783,6.379,4.153,3.803,5.59,12.533,Normal
8.2,4.152,4.923,5.992,7.668,6.73,7.59,9.535,7.092,8.206,9.183,10.524,8.356,9.378,4.491,8.07,11.552,3.831,7.544,4.281,3.499,6.54,7.698,Normal
7.933,4.079,3.703,5.354,8.318,6.415,6.491,8.621,8.969,7.213,8.971,11.981,6.779,10.395,4.251,6.727,12.21,3.492,6.402,3.894,3.253,6.225,11.907,Normal
7.921,3.647,3.042,5.389,8.503,7.439,7.059,9.54,8.396,9.594,9.344,12.449,7.129,9.086,3.61,7.537,11.446,3.658,7.231,3.42,3.624,6.237,12.25,Normal
7.877,3.722,3.035,5.052,8.424,7.505,7.18,9.246,9.019,9.52,9.14,12.232,6.492,7.634,4.405,7.347,12.224,3.484,7.221,3.547,3.072,6.528,12.487,Normal
8.037,3.428,3.886,5.656,7.683,7.922,6.064,9.246,8.653,8.037,8.893,11.429,7.511,9.639,5.159,7.947,10.436,3.671,7.902,4.27,3.647,6.266,12.384,Normal
