'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
20.698,4.1159,90.65,35.06,1.9944,348.61,3.536,20.256,4.5005,29.401,14.126,0.92741,4.3499,5.5597,10.729,5.7107,12.712,90.301,19.585,80.592,20.021,38.185,1772.1,6.2408,1194.4,BRCA
87.18,8.1767,81.941,35.152,6.3862,212.54,10.549,17.581,6.5136,33.971,21.132,0.78742,5.325,3.7252,24.041,11.935,26.903,62.509,130.44,46.732,26.869,41.943,812.39,11.789,969.74,BRCA
64.038,4.7893,81.176,97.678,21.303,203.1,23.318,6.2676,14.191,33.153,15.002,0.89122,9.1564,10.47,7.5833,15.967,8.6207,49.677,147.1,21.147,40.704,27.745,1389.7,15.667,695.67,BRCA
112.29,2.9629,61.784,43.518,32.068,163.46,4.9599,14.931,12.034,21.219,12.565,0.11745,9.74,10.131,7.6061,15.302,6.4266,62.286,29.735,25.876,31.864,37.21,1113.1,21.541,626.04,BRCA
21.937,6.5243,229.96,59.098,17.559,10.325,9.4478,3.0467,10.807,24.176,9.4812,1.4547,13.21,5.8348,25.162,13.167,11.725,0.062676,863.47,11.087,39.849,38.028,126.82,12.218,5678.3,BRCA
193.04,6.4832,51.523,43.712,11.78,220.37,6.29,3.0806,18.212,20.952,15.261,0.83907,2.4346,5.945,11.983,21.52,5.8396,60.97,230.6,48.809,29.282,29.571,2180.9,8.9789,1261.4,BRCA
92.837,4.983,145.97,88.007,30.429,133.27,5.3065,9.8845,7.1998,37.241,11.596,0.064994,12.5,5.4935,19.814,9.0191,8.7062,30.255,26.546,21.834,27.578,68.804,1653,9.3717,660.61,BRCA
114.16,6.6533,121.81,58.342,15.062,129.96,20.16,9.2738,30.195,135.73,20.613,0.065796,26.179,8.4913,15.949,11.491,8.5421,33.289,20.037,19.626,32.701,28.647,517.8,20.76,959.29,BRCA
144.23,12.426,130.89,31.079,33.105,199.45,5.8279,9.4055,9.7659,39.264,23.416,0.076318,2.9893,14.806,12.328,8.8854,6.3148,61.298,700.27,30.638,18.693,34.656,584.32,7.9049,772.74,BRCA
97.231,9.4069,63.011,77.112,6.0533,122.22,11.565,5.9732,8.3586,23.625,17.743,0.26381,6.9252,11.933,9.3437,9.5371,4.8037,61.788,25.955,60.38,27.063,44.57,1037.3,15.033,526.04,BRCA
53.358,3.9203,33.859,77.036,10.616,83.462,16.536,9.8173,8.1396,31.289,16.47,0.42639,5.0658,6.2242,7.8519,2.7373,17.777,71.007,7.1903,56.262,32.542,21.873,1135.7,5.9881,1617.1,BRCA
28.149,3.9693,55.159,95.236,24.459,119.59,5.5218,5.2519,8.8709,47.478,9.8412,0.051648,4.5503,10.932,14.706,4.9881,7.1881,67.27,39.342,24.862,16.598,43.828,1348.1,4.4016,1354.2,BRCA
28.607,7.3806,114.62,63.183,6.2836,4.9329,28.083,1.7467,24.772,49.335,11.29,0.44471,14.547,3.6348,0.81906,12.019,6.3172,0.16365,43.211,6.2999,54.379,26.58,142.38,7.4222,1381.7,BRCA
33.553,3.6103,98.354,96.932,12.115,375.98,3.0064,9.0556,3.9756,13.447,10.063,0.161,3.4765,5.764,26.332,3.1579,12.578,113.1,19.897,45.949,37.142,35.581,1824.2,21.066,722.73,BRCA
213.39,10.311,75.157,58.414,8.3702,17.184,8.2943,14.529,2.9439,217.42,30.538,0.82157,3.2254,5.4815,34.636,12.657,10.057,2.0475,66.18,58.919,17.994,44.083,105.42,17.683,5761.4,BRCA
81.938,5.1814,79.677,59.656,9.7333,86.23,14.164,7.0934,19.329,46.347,9.9786,0.70695,13.097,9.9627,8.352,8.1802,7.609,79.047,30.218,15.967,32.898,37.676,547.03,24.309,808.62,BRCA
216.72,4.9118,53.589,66.151,22.417,212.33,18.269,5.7926,4.7035,23.87,16.147,1.6645,2.3055,13.383,18.72,9.4002,9.5518,70.741,175.32,58.715,32.276,38.75,1256.6,26.887,830.37,BRCA
