IGSF10,GRK5,SPOCK2.1,FABP4,COL11A1,GRK5.3,EFNA4,SH3GL3.1,COL10A1,CA4,CA4.1,CST1,SGCG,GPM6A,GPM6A.1,SPP1.1,TNNC1,AGER,CLIC5,KANK3,SPTBN1.5,AGER.1,COL10A1.1,GOLM1.1,QKI.7,CCBE1,FRMD3,PCAT19,RTKN2,STXBP6.3,CCM2L.1,MASP1.3,CCDC85A.1,NCKAP5,SERTM1,COL11A1.2,Class
5.82916,5.7362,8.52835,8.72732,4.87786,7.66011,8.41123,6.14301,8.27837,7.64587,7.03556,6.80838,5.47484,5.80994,6.16354,10.004,8.08592,9.78617,10.5631,6.67472,6.19654,7.92608,5.98187,9.40621,6.79523,7.705,6.83168,7.40653,3.94995,5.86212,6.85456,6.07814,5.23914,5.70009,3.87905,4.07611,Cancer
6.43027,6.18466,8.97476,9.20623,5.29866,7.97479,8.53671,6.01077,9.30627,7.01791,6.72515,8.6991,5.38643,5.91788,6.36978,11.2563,8.10771,9.5201,8.73171,7.08616,6.24202,7.44774,8.038,9.39225,7.05314,7.57645,6.92715,7.36721,4.30086,6.53426,7.35691,6.50716,5.23922,4.19487,4.0222,5.02282,Cancer
3.97876,5.74478,9.25283,8.59521,9.90379,8.08418,7.9366,5.68438,11.1867,6.93406,5.2433,8.9118,4.57805,4.85398,4.6895,12.5043,5.05393,5.71317,7.94507,6.42165,6.19664,6.69657,10.1472,9.79193,6.9346,6.14118,6.02619,7.69549,3.66511,4.70175,6.82998,6.22801,4.08056,3.29266,3.82928,10.4845,Cancer
4.14443,5.50391,7.74085,6.63445,10.0931,7.20038,8.19363,5.95439,11.6651,7.0333,5.31161,9.77369,5.11571,4.33185,4.20336,12.9369,5.80037,7.59366,6.29765,5.97857,5.84073,6.20147,10.9364,9.89044,6.7076,8.18639,5.31178,6.5433,3.48794,4.01781,6.48054,6.03886,5.52552,4.10132,3.94012,10.683,Cancer
4.63076,5.75489,7.75558,6.77054,5.39003,6.3736,7.9333,5.93015,8.49633,7.14818,6.35986,7.04111,5.11474,5.06476,4.80481,12.21,5.90293,8.67935,7.6108,6.31146,5.77132,7.52749,7.63176,10.6152,6.37889,6.38368,5.63782,6.42211,3.89467,4.63484,6.27837,5.53303,4.31971,3.44451,4.41284,4.87127,Cancer
4.7127,5.77564,7.66974,6.84735,5.14786,7.09729,7.74336,5.74084,8.08071,7.01232,5.36232,5.77034,5.37439,6.31022,6.37061,11.6345,5.91643,7.84904,9.16951,6.62411,5.77432,6.49278,5.7586,10.1987,6.84144,6.12102,5.81775,6.61129,3.80104,4.07638,6.18805,6.06741,5.17401,3.79914,4.1848,4.61102,Cancer
5.87905,5.71643,7.12659,6.1617,7.04712,7.45354,8.89666,5.58955,10.0597,6.62147,5.48781,8.36281,4.6911,4.82498,5.40709,12.2341,5.13788,6.4414,7.71423,5.86151,5.97288,6.24842,8.86352,11.6572,6.59804,6.08101,5.51054,6.49396,4.15928,7.16178,6.1709,5.81869,5.15601,3.77734,6.11176,7.61952,Cancer
4.70826,6.20147,8.39801,6.4567,4.60958,8.48929,7.78472,5.77799,10.0146,7.07837,6.3384,7.00444,5.22695,4.13299,4.33628,9.88878,7.58837,7.98095,7.8976,7.26617,6.08618,6.86026,9.09028,8.9363,7.40075,7.4083,6.20225,7.15132,3.78989,5.46108,7.05922,6.43934,5.54069,3.56867,3.89047,3.9729,Cancer
9.18083,7.44864,11.2207,11.617,4.00384,11.0239,6.79178,7.27485,6.07589,9.77971,10.4587,4.37799,7.98199,8.87383,9.85382,4.90197,9.54127,12.6199,12.051,8.32916,8.76954,10.9792,4.77466,8.06445,8.29745,9.46699,8.16186,8.89771,7.78653,10.0718,8.63441,8.97149,8.07858,7.6623,7.28955,3.83306,Normal
9.11282,7.8061,11.2454,11.7456,4.43545,11.1819,6.8387,7.50891,5.30107,10.0997,10.6321,4.07058,8.2472,9.94487,10.8561,6.50502,10.1154,12.7351,12.1925,8.48369,8.98007,10.9843,4.34979,7.72393,8.46255,9.73013,8.70212,9.04144,8.28563,9.54942,8.71223,7.91244,8.06004,7.82827,8.24181,4.15985,Normal
8.80308,8.47109,11.6616,10.0082,4.32813,11.1945,6.58125,7.99297,5.20164,10.9981,11.5922,4.04243,7.10568,9.40827,9.9983,6.93907,9.6692,13.2913,11.9449,8.91377,9.54424,11.4155,4.09829,7.08135,8.29457,9.1702,8.22721,9.83459,7.25366,10.6304,9.05202,8.95773,8.64607,7.97037,5.74195,3.99788,Normal
8.71131,8.88032,10.4217,12.4242,4.17059,10.772,6.33402,8.45078,5.76528,9.52194,9.94417,4.55553,8.34656,9.7804,10.2591,6.15642,10.0358,9.93654,11.8254,8.83059,8.85927,9.85747,3.96053,6.87195,7.62345,9.76074,8.3515,10.0355,7.72755,10.2287,8.74841,8.73715,8.94042,8.29628,7.6448,3.97227,Normal
